project_id,week,tasks_created,tasks_closed,backlog
1328,2019-03-17,1,0,1
1328,2019-03-24,5,0,6
1328,2019-05-05,0,4,2
1328,2019-05-12,8,1,9
1328,2019-05-19,37,0,46
1328,2019-05-26,0,21,25
1328,2019-06-02,14,4,35
1328,2019-06-09,8,5,38
1328,2019-06-16,33,27,44
1328,2019-06-23,29,6,67
1328,2019-06-30,51,37,81
1328,2019-07-07,61,26,116
1328,2019-07-14,36,53,99
1328,2019-07-21,70,20,149
1328,2019-07-28,60,26,183
1328,2019-08-04,45,44,184
1328,2019-08-11,56,11,229
1328,2019-08-18,70,60,239
1328,2019-08-25,57,75,221
1328,2019-09-01,58,5,274
1328,2019-09-08,76,70,280
1328,2019-09-15,57,55,282
1328,2019-09-22,68,0,350
1328,2019-09-29,44,58,336
1328,2019-10-06,64,20,380
1328,2019-10-13,53,7,426
1328,2019-10-20,95,84,437
1328,2019-10-27,62,8,491
1328,2019-11-03,45,81,455
1328,2019-11-10,51,23,483
1328,2019-11-17,73,66,490
1328,2019-11-24,60,43,507
1328,2019-12-01,63,52,518
1328,2019-12-08,51,12,557
1328,2019-12-15,71,65,563
1328,2019-12-29,11,0,574
1328,2020-01-05,63,45,592
1328,2020-01-12,77,33,636
1328,2020-01-19,58,67,627
1328,2020-01-26,129,68,688
1328,2020-02-02,88,60,716
1328,2020-02-09,88,101,703
1328,2020-02-16,54,14,743
1328,2020-02-23,130,113,760
1328,2020-03-01,84,88,756
1328,2020-03-08,68,59,765
1328,2020-03-15,49,48,766
1328,2020-03-22,76,46,796
1328,2020-03-29,8,54,750
1328,2020-04-05,0,2,748
1328,2020-04-19,0,11,737
1328,2020-04-26,0,23,714
1328,2020-05-17,1,0,715
1328,2020-05-24,84,21,778
1328,2020-05-31,79,4,853
1328,2020-06-07,105,128,830
1328,2020-06-14,98,59,869
1328,2020-06-21,112,45,936
1328,2020-06-28,115,91,960
1328,2020-07-05,53,111,902
1328,2020-07-12,23,7,918
1328,2020-07-19,0,28,890
1328,2020-08-02,3,20,873
1328,2020-08-09,53,36,890
1328,2020-08-16,72,57,905
1328,2020-08-23,71,39,937
1328,2020-08-30,155,149,943
1328,2020-09-06,90,10,1023
1328,2020-09-13,22,7,1038
1329,2019-07-07,1,0,1
1329,2019-08-04,5,0,6
1329,2019-08-11,1,0,7
1329,2019-08-18,5,0,12
1329,2019-08-25,9,1,20
1329,2019-09-01,6,0,26
1329,2019-09-08,5,11,20
1329,2019-09-15,7,6,21
1329,2019-09-22,9,2,28
1329,2019-09-29,3,5,26
1329,2019-10-06,3,0,29
1329,2019-10-13,2,0,31
1329,2019-10-27,5,7,29
1329,2019-11-03,8,0,37
1329,2019-11-10,8,4,41
1329,2019-11-17,1,7,35
1329,2019-11-24,7,0,42
1329,2019-12-01,5,1,46
1329,2019-12-15,3,5,44
1329,2020-01-05,4,0,48
1329,2020-01-19,8,0,56
1329,2020-01-26,5,11,50
1329,2020-02-02,5,1,54
1329,2020-02-09,4,3,55
1329,2020-02-16,6,8,53
1329,2020-02-23,1,0,54
1329,2020-03-01,19,3,70
1329,2020-03-08,13,5,78
1329,2020-03-15,7,6,79
1329,2020-03-22,2,9,72
1329,2020-03-29,3,2,73
1329,2020-05-17,10,1,82
1329,2020-05-24,6,0,88
1329,2020-05-31,8,7,89
1329,2020-06-07,5,0,94
1329,2020-06-14,6,0,100
1329,2020-06-21,22,0,122
1329,2020-06-28,3,0,125
1329,2020-07-05,21,17,129
1329,2020-07-12,19,21,127
1329,2020-07-19,21,11,137
1329,2020-07-26,19,0,156
1329,2020-08-02,13,20,149
1329,2020-08-09,20,3,166
1329,2020-08-16,30,17,179
1329,2020-08-23,33,8,204
1329,2020-08-30,31,2,233
1329,2020-09-06,35,44,224
1329,2020-09-13,6,0,230
1330,2019-06-23,20,0,20
1330,2019-06-30,19,0,39
1330,2019-07-07,30,9,60
1330,2019-07-14,16,0,76
1330,2019-07-21,10,8,78
1330,2019-07-28,27,1,104
1330,2019-08-04,14,10,108
1330,2019-08-11,7,0,115
1330,2019-08-18,27,40,102
1330,2019-08-25,24,1,125
1330,2019-09-01,28,4,149
1330,2019-09-08,20,3,166
1330,2019-09-15,25,12,179
1330,2019-09-22,22,14,187
1330,2019-09-29,18,2,203
1330,2019-10-06,10,6,207
1330,2019-10-13,29,3,233
1330,2019-10-20,17,0,250
1330,2019-10-27,16,12,254
1330,2019-11-03,42,3,293
1330,2019-11-10,38,10,321
1330,2019-11-17,33,4,350
1330,2019-11-24,31,7,374
1330,2019-12-01,17,5,386
1330,2019-12-08,38,8,416
1330,2019-12-15,17,0,433
1330,2019-12-29,3,139,297
1330,2020-01-05,16,0,313
1330,2020-01-12,44,1,356
1330,2020-01-19,29,15,370
1330,2020-01-26,55,14,411
1330,2020-02-02,57,59,409
1330,2020-02-09,72,14,467
1330,2020-02-16,31,18,480
1330,2020-02-23,56,112,424
1330,2020-03-01,38,37,425
1330,2020-03-08,51,10,466
1330,2020-03-15,61,53,474
1330,2020-03-22,86,61,499
1330,2020-03-29,105,42,562
1330,2020-04-05,71,13,620
1330,2020-04-12,47,55,612
1330,2020-04-19,83,35,660
1330,2020-04-26,127,25,762
1330,2020-05-03,107,16,853
1330,2020-05-10,126,60,919
1330,2020-05-17,122,65,976
1330,2020-05-24,87,65,998
1330,2020-05-31,62,59,1001
1330,2020-06-07,77,74,1004
1330,2020-06-14,67,15,1056
1330,2020-06-21,130,130,1056
1330,2020-06-28,195,32,1219
1330,2020-07-05,112,252,1079
1330,2020-07-12,135,65,1149
1330,2020-07-19,99,57,1191
1330,2020-07-26,81,7,1265
1330,2020-08-02,101,37,1329
1330,2020-08-09,86,13,1402
1330,2020-08-16,88,62,1428
1330,2020-08-23,88,25,1491
1330,2020-08-30,117,38,1570
1330,2020-09-06,125,66,1629
1330,2020-09-13,52,42,1639
1335,2019-10-06,1,0,1
1335,2019-10-13,5,0,6
1335,2019-10-27,4,0,10
1335,2019-11-10,0,3,7
1335,2019-11-24,4,0,11
1335,2019-12-01,19,5,25
1335,2019-12-08,15,3,37
1335,2019-12-15,12,7,42
1335,2020-01-05,23,12,53
1335,2020-01-12,38,8,83
1335,2020-01-19,33,14,102
1335,2020-01-26,23,10,115
1335,2020-02-02,37,6,146
1335,2020-02-09,28,16,158
1335,2020-02-16,37,15,180
1335,2020-02-23,31,9,202
1335,2020-03-01,39,22,219
1335,2020-03-08,34,17,236
1335,2020-03-15,34,17,253
1335,2020-03-22,24,9,268
1335,2020-03-29,0,5,263
1335,2020-04-26,0,2,261
1335,2020-05-17,36,0,297
1335,2020-05-24,27,9,315
1335,2020-05-31,40,4,351
1335,2020-06-07,47,15,383
1335,2020-06-14,54,47,390
1335,2020-06-21,43,25,408
1335,2020-06-28,54,20,442
1335,2020-07-05,40,26,456
1335,2020-07-12,58,38,476
1335,2020-07-19,47,18,505
1335,2020-07-26,67,22,550
1335,2020-08-02,45,39,556
1335,2020-08-09,33,48,541
1335,2020-08-16,41,12,570
1335,2020-08-23,87,29,628
1335,2020-08-30,78,29,677
1335,2020-09-06,21,16,682
1335,2020-09-13,8,51,639
1338,2020-02-16,6,0,6
1338,2020-02-23,18,1,23
1338,2020-03-01,44,7,60
1338,2020-03-08,39,9,90
1338,2020-03-15,23,12,101
1338,2020-03-22,40,3,138
1338,2020-03-29,0,61,77
1338,2020-05-17,9,0,86
1338,2020-05-24,57,1,142
1338,2020-05-31,61,8,195
1338,2020-06-07,72,30,237
1338,2020-06-14,82,131,188
1338,2020-06-21,68,79,177
1338,2020-06-28,61,39,199
1338,2020-07-05,53,25,227
1338,2020-07-12,79,63,243
1338,2020-07-19,84,32,295
1338,2020-07-26,62,41,316
1338,2020-08-02,69,28,357
1338,2020-08-09,76,44,389
1338,2020-08-16,59,30,418
1338,2020-08-23,59,29,448
1338,2020-08-30,92,52,488
1338,2020-09-06,82,41,529
1338,2020-09-13,13,0,542
1340,2020-02-23,17,13,4
1340,2020-03-01,12,6,10
1340,2020-03-08,11,9,12
1340,2020-03-15,15,7,20
1340,2020-03-22,24,12,32
1340,2020-05-17,22,8,46
1340,2020-05-24,30,15,61
1340,2020-05-31,23,9,75
1340,2020-06-07,58,20,113
1340,2020-06-14,63,33,143
1340,2020-06-21,63,46,160
1340,2020-06-28,57,48,169
1340,2020-07-05,62,40,191
1340,2020-07-12,64,44,211
1340,2020-07-19,71,50,232
1340,2020-07-26,64,44,252
1340,2020-08-02,58,43,267
1340,2020-08-09,54,57,264
1340,2020-08-16,45,39,270
1340,2020-08-23,65,51,284
1340,2020-08-30,48,49,283
1340,2020-09-06,52,37,298
1340,2020-09-13,17,10,305
1343,2020-03-22,7,0,7
1343,2020-05-17,21,0,28
1343,2020-05-24,28,0,56
1343,2020-05-31,23,8,71
1343,2020-06-07,20,17,74
1343,2020-06-14,26,10,90
1343,2020-06-21,15,6,99
1343,2020-06-28,15,2,112
1343,2020-07-05,15,0,127
1343,2020-07-12,36,34,129
1343,2020-07-19,21,5,145
1343,2020-07-26,18,9,154
1343,2020-08-02,21,7,168
1343,2020-08-09,15,8,175
1343,2020-08-16,19,11,183
1343,2020-08-23,16,4,195
1343,2020-08-30,36,12,219
1343,2020-09-06,24,7,236
1343,2020-09-13,5,0,241
1345,2020-02-16,2,0,2
1345,2020-02-23,0,2,0
1345,2020-03-08,8,0,8
1345,2020-03-15,3,1,10
1345,2020-03-22,5,7,8
1345,2020-05-03,6,0,14
1345,2020-05-10,1,2,13
1345,2020-05-17,4,1,16
1345,2020-05-24,7,3,20
1345,2020-05-31,3,1,22
1345,2020-06-07,4,4,22
1345,2020-06-21,4,0,26
1345,2020-07-05,23,9,40
1345,2020-07-12,16,6,50
1345,2020-07-19,31,4,77
1345,2020-07-26,18,0,95
1345,2020-08-02,37,19,113
1345,2020-08-09,58,17,154
1345,2020-08-16,48,5,197
1345,2020-08-23,85,2,280
1345,2020-08-30,76,8,348
1345,2020-09-06,113,71,390
1345,2020-09-13,8,0,398
